1,5,21,85,341,1365,5461,21845,87381,349525
3,13,53,213,853,3413,13653,54613,218453,873813
9,37,149,597,2389,9557,38229,152917,611669,2446677
7,29,117,469,1877,7509,30037,120149,480597,1922389
17,69,277,1109,4437,17749,70997,283989,1135957,4543829
11,45,181,725,2901,11605,46421,185685,742741,2970965
25,101,405,1621,6485,25941,103765,415061,1660245,6640981
15,61,245,981,3925,15701,62805,251221,1004885,4019541
33,133,533,2133,8533,34133,136533,546133,2184533,8738133
19,77,309,1237,4949,19797,79189,316757,1267029,5068117
41,165,661,2645,10581,42325,169301,677205,2708821,10835285
23,93,373,1493,5973,23893,95573,382293,1529173,6116693
49,197,789,3157,12629,50517,202069,808277,3233109,12932437
27,109,437,1749,6997,27989,111957,447829,1791317,7165269
57,229,917,3669,14677,58709,234837,939349,3757397,15029589
31,125,501,2005,8021,32085,128341,513365,2053461,8213845
65,261,1045,4181,16725,66901,267605,1070421,4281685,17126741
35,141,565,2261,9045,36181,144725,578901,2315605,9262421
73,293,1173,4693,18773,75093,300373,1201493,4805973,19223893
39,157,629,2517,10069,40277,161109,644437,2577749,10310997
81,325,1301,5205,20821,83285,333141,1332565,5330261,21321045
43,173,693,2773,11093,44373,177493,709973,2839893,11359573
89,357,1429,5717,22869,91477,365909,1463637,5854549,23418197
47,189,757,3029,12117,48469,193877,775509,3102037,12408149
97,389,1557,6229,24917,99669,398677,1594709,6378837,25515349
51,205,821,3285,13141,52565,210261,841045,3364181,13456725
105,421,1685,6741,26965,107861,431445,1725781,6903125,27612501
55,221,885,3541,14165,56661,226645,906581,3626325,14505301
113,453,1813,7253,29013,116053,464213,1856853,7427413,29709653
59,237,949,3797,15189,60757,243029,972117,3888469,15553877
121,485,1941,7765,31061,124245,496981,1987925,7951701,31806805
63,253,1013,4053,16213,64853,259413,1037653,4150613,16602453
129,517,2069,8277,33109,132437,529749,2118997,8475989,33903957
67,269,1077,4309,17237,68949,275797,1103189,4412757,17651029
137,549,2197,8789,35157,140629,562517,2250069,9000277,36001109
71,285,1141,4565,18261,73045,292181,1168725,4674901,18699605
145,581,2325,9301,37205,148821,595285,2381141,9524565,38098261
75,301,1205,4821,19285,77141,308565,1234261,4937045,19748181
153,613,2453,9813,39253,157013,628053,2512213,10048853,40195413
79,317,1269,5077,20309,81237,324949,1299797,5199189,20796757
161,645,2581,10325,41301,165205,660821,2643285,10573141,42292565
83,333,1333,5333,21333,85333,341333,1365333,5461333,21845333
169,677,2709,10837,43349,173397,693589,2774357,11097429,44389717
87,349,1397,5589,22357,89429,357717,1430869,5723477,22893909
177,709,2837,11349,45397,181589,726357,2905429,11621717,46486869
91,365,1461,5845,23381,93525,374101,1496405,5985621,23942485
185,741,2965,11861,47445,189781,759125,3036501,12146005,48584021
95,381,1525,6101,24405,97621,390485,1561941,6247765,24991061
193,773,3093,12373,49493,197973,791893,3167573,12670293,50681173
99,397,1589,6357,25429,101717,406869,1627477,6509909,26039637
201,805,3221,12885,51541,206165,824661,3298645,13194581,52778325
103,413,1653,6613,26453,105813,423253,1693013,6772053,27088213
209,837,3349,13397,53589,214357,857429,3429717,13718869,54875477
107,429,1717,6869,27477,109909,439637,1758549,7034197,28136789
217,869,3477,13909,55637,222549,890197,3560789,14243157,56972629
111,445,1781,7125,28501,114005,456021,1824085,7296341,29185365
225,901,3605,14421,57685,230741,922965,3691861,14767445,59069781
115,461,1845,7381,29525,118101,472405,1889621,7558485,30233941
233,933,3733,14933,59733,238933,955733,3822933,15291733,61166933
119,477,1909,7637,30549,122197,488789,1955157,7820629,31282517
241,965,3861,15445,61781,247125,988501,3954005,15816021,63264085
123,493,1973,7893,31573,126293,505173,2020693,8082773,32331093
249,997,3989,15957,63829,255317,1021269,4085077,16340309,65361237
127,509,2037,8149,32597,130389,521557,2086229,8344917,33379669
257,1029,4117,16469,65877,263509,1054037,4216149,16864597,67458389
131,525,2101,8405,33621,134485,537941,2151765,8607061,34428245
265,1061,4245,16981,67925,271701,1086805,4347221,17388885,69555541
135,541,2165,8661,34645,138581,554325,2217301,8869205,35476821
273,1093,4373,17493,69973,279893,1119573,4478293,17913173,71652693
139,557,2229,8917,35669,142677,570709,2282837,9131349,36525397
281,1125,4501,18005,72021,288085,1152341,4609365,18437461,73749845
143,573,2293,9173,36693,146773,587093,2348373,9393493,37573973
289,1157,4629,18517,74069,296277,1185109,4740437,18961749,75846997
147,589,2357,9429,37717,150869,603477,2413909,9655637,38622549
297,1189,4757,19029,76117,304469,1217877,4871509,19486037,77944149
151,605,2421,9685,38741,154965,619861,2479445,9917781,39671125
305,1221,4885,19541,78165,312661,1250645,5002581,20010325,80041301
155,621,2485,9941,39765,159061,636245,2544981,10179925,40719701
313,1253,5013,20053,80213,320853,1283413,5133653,20534613,82138453
159,637,2549,10197,40789,163157,652629,2610517,10442069,41768277
321,1285,5141,20565,82261,329045,1316181,5264725,21058901,84235605
163,653,2613,10453,41813,167253,669013,2676053,10704213,42816853
329,1317,5269,21077,84309,337237,1348949,5395797,21583189,86332757
167,669,2677,10709,42837,171349,685397,2741589,10966357,43865429
337,1349,5397,21589,86357,345429,1381717,5526869,22107477,88429909
171,685,2741,10965,43861,175445,701781,2807125,11228501,44914005
345,1381,5525,22101,88405,353621,1414485,5657941,22631765,90527061
175,701,2805,11221,44885,179541,718165,2872661,11490645,45962581
353,1413,5653,22613,90453,361813,1447253,5789013,23156053,92624213
179,717,2869,11477,45909,183637,734549,2938197,11752789,47011157
361,1445,5781,23125,92501,370005,1480021,5920085,23680341,94721365
183,733,2933,11733,46933,187733,750933,3003733,12014933,48059733
369,1477,5909,23637,94549,378197,1512789,6051157,24204629,96818517
187,749,2997,11989,47957,191829,767317,3069269,12277077,49108309
377,1509,6037,24149,96597,386389,1545557,6182229,24728917,98915669
191,765,3061,12245,48981,195925,783701,3134805,12539221,50156885
385,1541,6165,24661,98645,394581,1578325,6313301,25253205,101012821
195,781,3125,12501,50005,200021,800085,3200341,12801365,51205461
393,1573,6293,25173,100693,402773,1611093,6444373,25777493,103109973
199,797,3189,12757,51029,204117,816469,3265877,13063509,52254037
401,1605,6421,25685,102741,410965,1643861,6575445,26301781,105207125
203,813,3253,13013,52053,208213,832853,3331413,13325653,53302613
409,1637,6549,26197,104789,419157,1676629,6706517,26826069,107304277
207,829,3317,13269,53077,212309,849237,3396949,13587797,54351189
417,1669,6677,26709,106837,427349,1709397,6837589,27350357,109401429
211,845,3381,13525,54101,216405,865621,3462485,13849941,55399765
425,1701,6805,27221,108885,435541,1742165,6968661,27874645,111498581
215,861,3445,13781,55125,220501,882005,3528021,14112085,56448341
433,1733,6933,27733,110933,443733,1774933,7099733,28398933,113595733
219,877,3509,14037,56149,224597,898389,3593557,14374229,57496917
441,1765,7061,28245,112981,451925,1807701,7230805,28923221,115692885
223,893,3573,14293,57173,228693,914773,3659093,14636373,58545493
449,1797,7189,28757,115029,460117,1840469,7361877,29447509,117790037
227,909,3637,14549,58197,232789,931157,3724629,14898517,59594069
457,1829,7317,29269,117077,468309,1873237,7492949,29971797,119887189
231,925,3701,14805,59221,236885,947541,3790165,15160661,60642645
465,1861,7445,29781,119125,476501,1906005,7624021,30496085,121984341
235,941,3765,15061,60245,240981,963925,3855701,15422805,61691221
473,1893,7573,30293,121173,484693,1938773,7755093,31020373,124081493
239,957,3829,15317,61269,245077,980309,3921237,15684949,62739797
481,1925,7701,30805,123221,492885,1971541,7886165,31544661,126178645
243,973,3893,15573,62293,249173,996693,3986773,15947093,63788373
489,1957,7829,31317,125269,501077,2004309,8017237,32068949,128275797
247,989,3957,15829,63317,253269,1013077,4052309,16209237,64836949
497,1989,7957,31829,127317,509269,2037077,8148309,32593237,130372949
251,1005,4021,16085,64341,257365,1029461,4117845,16471381,65885525
505,2021,8085,32341,129365,517461,2069845,8279381,33117525,132470101
255,1021,4085,16341,65365,261461,1045845,4183381,16733525,66934101
513,2053,8213,32853,131413,525653,2102613,8410453,33641813,134567253
259,1037,4149,16597,66389,265557,1062229,4248917,16995669,67982677
521,2085,8341,33365,133461,533845,2135381,8541525,34166101,136664405
263,1053,4213,16853,67413,269653,1078613,4314453,17257813,69031253
529,2117,8469,33877,135509,542037,2168149,8672597,34690389,138761557
267,1069,4277,17109,68437,273749,1094997,4379989,17519957,70079829
537,2149,8597,34389,137557,550229,2200917,8803669,35214677,140858709
271,1085,4341,17365,69461,277845,1111381,4445525,17782101,71128405
545,2181,8725,34901,139605,558421,2233685,8934741,35738965,142955861
275,1101,4405,17621,70485,281941,1127765,4511061,18044245,72176981
553,2213,8853,35413,141653,566613,2266453,9065813,36263253,145053013
279,1117,4469,17877,71509,286037,1144149,4576597,18306389,73225557
561,2245,8981,35925,143701,574805,2299221,9196885,36787541,147150165
283,1133,4533,18133,72533,290133,1160533,4642133,18568533,74274133
569,2277,9109,36437,145749,582997,2331989,9327957,37311829,149247317
287,1149,4597,18389,73557,294229,1176917,4707669,18830677,75322709
577,2309,9237,36949,147797,591189,2364757,9459029,37836117,151344469
